Unnamed: 0,id,country,year,wealth,wealthpooled,households,LATNUM,LONGNUM
1729,1729_Burkina Faso_2014,Burkina Faso,2014,-0.591361642,-0.424873143,24,12.691129,-0.546823
1730,1730_Burkina Faso_2014,Burkina Faso,2014,-0.350967705,-0.264662623,26,13.769688,-0.60363
1732,1732_Burkina Faso_2014,Burkina Faso,2014,-0.495765209,-0.409079969,25,13.07401,-0.420251
1733,1733_Burkina Faso_2014,Burkina Faso,2014,-0.291909993,-0.217610136,23,13.286344,-1.031602
1734,1734_Burkina Faso_2014,Burkina Faso,2014,-0.159334585,-0.121539444,24,13.246273,-1.056743
1735,1735_Burkina Faso_2014,Burkina Faso,2014,0.504467309,0.401689082,26,13.096347,-1.085705
1737,1737_Burkina Faso_2014,Burkina Faso,2014,-0.210277691,-0.104434028,26,12.893207,-1.29899
1738,1738_Burkina Faso_2014,Burkina Faso,2014,-0.429771602,-0.320194066,25,13.093998,-1.344461
1739,1739_Burkina Faso_2014,Burkina Faso,2014,-0.751815796,-0.692065418,26,12.838937,-0.989264
1740,1740_Burkina Faso_2014,Burkina Faso,2014,-0.438288003,-0.352891624,25,12.991792,-0.829985
1742,1742_Burkina Faso_2014,Burkina Faso,2014,-0.300437301,-0.274024427,26,12.789097,-0.891666
1743,1743_Burkina Faso_2014,Burkina Faso,2014,-0.200730413,-0.233352125,24,12.370217,-2.078214
1744,1744_Burkina Faso_2014,Burkina Faso,2014,-0.313004166,-0.155978814,24,12.346614,-2.392935
1745,1745_Burkina Faso_2014,Burkina Faso,2014,1.030592322,0.674888074,21,12.275075,-2.359598
1746,1746_Burkina Faso_2014,Burkina Faso,2014,1.590687871,0.865589499,23,12.254841,-2.387068
1748,1748_Burkina Faso_2014,Burkina Faso,2014,-0.140547603,-0.045826249,25,12.211358,-2.131944
1750,1750_Burkina Faso_2014,Burkina Faso,2014,-0.257375389,-0.151126102,26,11.992804,-2.121027
1751,1751_Burkina Faso_2014,Burkina Faso,2014,-0.339635193,-0.240163714,25,12.810605,-2.512087
